Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Response To Peptide Hormone (GO:0043434)	2/55	5.680161e-04	5.682763e-02	0	0	6.838422e+01	5.110599e+02	STAT2;SLC2A1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	2/63	7.448410e-04	5.682763e-02	0	0	5.939195e+01	4.277610e+02	BRD4;EIF4G1
GO_Biological_Process_2023	Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)	2/106	2.089223e-03	5.682763e-02	0	0	3.476049e+01	2.145057e+02	SMARCA4;EIF4G1
GO_Biological_Process_2023	Regulation Of Wnt Signaling Pathway (GO:0030111)	2/109	2.207307e-03	5.682763e-02	0	0	3.378080e+01	2.066028e+02	ITGA3;SMARCA4
GO_Biological_Process_2023	Cap-Dependent Translational Initiation (GO:0002191)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	EIF4G1
GO_Biological_Process_2023	Regulation Of Protein Depolymerization (GO:1901879)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	WDR1
GO_Biological_Process_2023	Phosphatidylinositol Acyl-Chain Remodeling (GO:0036149)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	MBOAT7
GO_Biological_Process_2023	L-ascorbic Acid Metabolic Process (GO:0019852)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	SLC2A1
GO_Biological_Process_2023	Transmembrane Receptor Protein Tyrosine Phosphatase Signaling Pathway (GO:0007185)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	PTPRF
GO_Biological_Process_2023	Regulation Of Translation In Response To Endoplasmic Reticulum Stress (GO:0036490)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	EIF4G1
GO_Biological_Process_2023	Positive Regulation Of Translation In Response To Stress (GO:0032056)	1/5	3.246051e-03	5.682763e-02	0	0	4.163125e+02	2.385602e+03	EIF4G1
GO_Biological_Process_2023	Positive Regulation Of mRNA Binding (GO:1902416)	1/6	3.894096e-03	5.682763e-02	0	0	3.330333e+02	1.847767e+03	EIF4G1
