Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,canonical glycolysis (GO:0061621),12/24,1.7345885911405063e-09,2.372832435999077e-06,0,0,16.569041336851363,334.23891304842846,GPI;PFKL;TPI1;PGAM1;PGK1;ALDOC;ENO1;ENO2;ALDOA;GAPDH;PFKP;HK1
GO_Biological_Process_2021,glucose catabolic process to pyruvate (GO:0061718),12/24,1.7345885911405063e-09,2.372832435999077e-06,0,0,16.569041336851363,334.23891304842846,GPI;PFKL;TPI1;PGAM1;PGK1;ALDOC;ENO1;ENO2;ALDOA;GAPDH;PFKP;HK1
GO_Biological_Process_2021,glycolytic process (GO:0006096),13/29,1.9878518034060966e-09,2.372832435999077e-06,0,0,13.471335827464788,269.91453082332674,GPI;TPI1;PGAM1;ENO1;ENO2;HK1;LDHA;PFKL;PGK1;ALDOC;ALDOA;GAPDH;PGM1
GO_Biological_Process_2021,glycolytic process through glucose-6-phosphate (GO:0061620),12/25,3.161251501404933e-09,2.8301104066327663e-06,0,0,15.293687842500509,299.33261357135245,GPI;PFKL;TPI1;PGAM1;PGK1;ALDOC;ENO1;ENO2;ALDOA;GAPDH;PFKP;HK1
GO_Biological_Process_2021,regulation of small GTPase mediated signal transduction (GO:0051056),28/141,6.9253523081441405e-09,4.959937323092833e-06,0,0,4.141877116670482,77.81790582534418,ITSN1;ARHGAP1;ARHGAP18;PIK3R2;KALRN;SYDE1;ABR;RELN;OPHN1;PLCE1;SRGAP2;CGNL1;TGM2;PLEKHG2;STARD8;PLEKHG5;ARHGAP29;RHOF;RHOC;ARHGAP23;RHOB;TIAM2;ARHGAP33;ARHGAP31;RHOJ;ARHGEF3;RHOU;ARHGEF6
GO_Biological_Process_2021,carbohydrate catabolic process (GO:0016052),14/41,3.2190892415568524e-08,1.921259762335848e-05,0,0,8.599641050742372,148.3574150676646,GPI;TPI1;PGAM1;ENO1;ENO2;HK1;LDHA;PFKL;MAN2B2;PGK1;ALDOC;ALDOA;GAPDH;PGM1
GO_Biological_Process_2021,supramolecular fiber organization (GO:0097435),46/351,1.4893762600376165e-07,7.619223410278149e-05,0,0,2.535903571481652,39.86374033560686,APP;COL18A1;ITGB4;COL12A1;LMOD1;LOXL4;PLOD2;LTBP2;PLOD1;LTBP3;TRIOBP;LOXL1;LOXL2;RHOBTB2;GGA2;ADAMTS14;EFEMP2;PGM5;TPPP;CGNL1;GSN;LAMB3;EMP2;MYO7A;RHOF;RHOC;SORL1;RHOB;CCDC88B;CLIP3;CLIP2;MYO1E;BMP1;MYO1C;COL4A2;P4HA1;COL4A3;CORO6;CDC42EP2;COL9A2;MAPT;P4HB;ALDOA;DBN1;BCAR1;PLEC
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),41/300,2.2688634318407618e-07,0.0001015599993677721,0,0,2.656259147233877,40.63762163035639,DDR1;APP;COL18A1;LAMA5;ITGB4;LAMA4;COL12A1;LOXL4;PLOD2;PLOD1;NID2;LOXL1;LOXL2;VTN;ADAMTS14;MMP24;CAPNS1;SH3PXD2A;ADAMTSL4;ADAMTSL3;CTSK;TIMP2;CAPN1;GSN;LAMB3;ITGA3;LAMB2;MMP2;ITGA1;FN1;MMP11;BMP1;COL4A2;P4HA1;MMP15;COL4A3;ITGA7;COL9A2;P4HB;AGRN;PLEC
GO_Biological_Process_2021,pyruvate metabolic process (GO:0006090),15/55,3.029065485114371e-07,0.00012052315002438404,0,0,6.220568783068783,93.36975147223504,GPI;TPI1;PGAM1;ENO1;HOGA1;ENO2;HK1;LDHA;PFKL;PGK1;ALDOC;ALDOA;SLC16A3;GAPDH;PGM1
GO_Biological_Process_2021,regulation of intracellular signal transduction (GO:1902531),51/437,1.1985141456434702e-06,0.0004291879155549267,0,0,2.221927291259662,30.29470763025827,EHMT2;LRRK2;ITSN1;ARHGAP1;HSPB1;CHD3;SYDE1;ING2;LBH;RASSF2;OPHN1;PPP1R13L;TMSB4X;PLEKHG2;STARD8;PLEKHG5;PPP2R5B;RHOF;RHOC;PJA2;RHOB;TIAM2;RHOJ;ARHGEF3;RHOU;MAPT;EZR;OPTN;ARHGEF6;L3MBTL1;NLGN1;PHLPP1;ARHGAP18;PIK3R2;KALRN;ABR;RRAS;SMYD2;PAK6;SRGAP2;MAP2K6;PAK4;MAPK3;ARHGAP29;WDR54;ARHGAP23;ARHGAP33;ARHGAP31;BCL3;TAF6;FBXL2
