Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),2/55,0.0005680161453256235,0.0568276331592059,0,0,68.38421955403088,511.05993992585104,STAT2;SLC2A1
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),2/63,0.000744841049273835,0.0568276331592059,0,0,59.39195230998509,427.7610171128168,BRD4;EIF4G1
GO_Biological_Process_2023,Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),2/106,0.0020892234242243,0.0568276331592059,0,0,34.76048951048951,214.5056893965526,SMARCA4;EIF4G1
GO_Biological_Process_2023,Regulation Of Wnt Signaling Pathway (GO:0030111),2/109,0.0022073067613513,0.0568276331592059,0,0,33.78079864061173,206.60276206098803,ITGA3;SMARCA4
GO_Biological_Process_2023,Cap-Dependent Translational Initiation (GO:0002191),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,EIF4G1
GO_Biological_Process_2023,Regulation Of Protein Depolymerization (GO:1901879),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,WDR1
GO_Biological_Process_2023,Phosphatidylinositol Acyl-Chain Remodeling (GO:0036149),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,MBOAT7
GO_Biological_Process_2023,L-ascorbic Acid Metabolic Process (GO:0019852),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,SLC2A1
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Phosphatase Signaling Pathway (GO:0007185),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,PTPRF
GO_Biological_Process_2023,Regulation Of Translation In Response To Endoplasmic Reticulum Stress (GO:0036490),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Translation In Response To Stress (GO:0032056),1/5,0.0032460508750897,0.0568276331592059,0,0,416.3125,2385.6022367218384,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of mRNA Binding (GO:1902416),1/6,0.0038940964853966,0.0568276331592059,0,0,333.03333333333336,1847.7667100463036,EIF4G1
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242),1/6,0.0038940964853966,0.0568276331592059,0,0,333.03333333333336,1847.7667100463036,LMNA
GO_Biological_Process_2023,Regulation Of Triglyceride Metabolic Process (GO:0090207),1/7,0.0045417536091676,0.0568276331592059,0,0,277.5138888888889,1497.032601111507,MBOAT7
GO_Biological_Process_2023,Dendritic Spine Maintenance (GO:0097062),1/7,0.0045417536091676,0.0568276331592059,0,0,277.5138888888889,1497.032601111507,ITGA3
GO_Biological_Process_2023,Maintenance Of Apical/Basal Cell Polarity (GO:0035090),1/8,0.0051890223794998,0.0568276331592059,0,0,237.8571428571429,1251.416370420653,WDR1
GO_Biological_Process_2023,Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045199),1/8,0.0051890223794998,0.0568276331592059,0,0,237.8571428571429,1251.416370420653,WDR1
GO_Biological_Process_2023,Mesodermal Cell Differentiation (GO:0048333),1/8,0.0051890223794998,0.0568276331592059,0,0,237.8571428571429,1251.416370420653,ITGA3
GO_Biological_Process_2023,Dehydroascorbic Acid Transport (GO:0070837),1/8,0.0051890223794998,0.0568276331592059,0,0,237.8571428571429,1251.416370420653,SLC2A1
GO_Biological_Process_2023,Regulation Of Receptor Binding (GO:1900120),1/9,0.005835902950749,0.0568276331592059,0,0,208.11458333333331,1070.4844511001115,PTPRF
GO_Biological_Process_2023,Protein Localization To Nuclear Envelope (GO:0090435),1/9,0.005835902950749,0.0568276331592059,0,0,208.11458333333331,1070.4844511001115,LMNA
GO_Biological_Process_2023,Negative Regulation Of Receptor Binding (GO:1900121),1/9,0.005835902950749,0.0568276331592059,0,0,208.11458333333331,1070.4844511001115,PTPRF
GO_Biological_Process_2023,Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838),1/9,0.005835902950749,0.0568276331592059,0,0,208.11458333333331,1070.4844511001115,SMARCA4
GO_Biological_Process_2023,Long-Chain Fatty Acid Import Into Cell (GO:0044539),1/9,0.005835902950749,0.0568276331592059,0,0,208.11458333333331,1070.4844511001115,SLC2A1
GO_Biological_Process_2023,Actin Filament Depolymerization (GO:0030042),1/10,0.006482395492037,0.0568276331592059,0,0,184.9814814814815,932.059746399125,WDR1
GO_Biological_Process_2023,Regulation Of Actin Filament Depolymerization (GO:0030834),1/11,0.00712850018242,0.0568276331592059,0,0,166.475,822.994869532877,WDR1
GO_Biological_Process_2023,Synaptic Membrane Adhesion (GO:0099560),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,PTPRF
GO_Biological_Process_2023,Cellular Component Maintenance (GO:0043954),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,ITGA3
GO_Biological_Process_2023,Fatty Acid Transmembrane Transport (GO:1902001),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,SLC2A1
GO_Biological_Process_2023,Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,MBOAT7
GO_Biological_Process_2023,Glucose Import (GO:0046323),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,SLC2A1
GO_Biological_Process_2023,Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614),1/12,0.0077742172076079,0.0568276331592059,0,0,151.33333333333334,735.0172993440868,LMNA
GO_Biological_Process_2023,Regulation Of Response To Stress (GO:0080134),1/13,0.0084195467572216,0.0568276331592059,0,0,138.71527777777777,662.6705253310397,EIF4G1
GO_Biological_Process_2023,Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901836),1/13,0.0084195467572216,0.0568276331592059,0,0,138.71527777777777,662.6705253310397,SMARCA4
GO_Biological_Process_2023,miRNA-mediated Gene Silencing By Inhibition Of Translation (GO:0035278),1/14,0.0090644890278939,0.0568276331592059,0,0,128.03846153846155,602.2149225510485,EIF4G1
GO_Biological_Process_2023,Negative Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010801),1/14,0.0090644890278939,0.0568276331592059,0,0,128.03846153846155,602.2149225510485,EIF4G1
GO_Biological_Process_2023,Negative Regulation Of Androgen Receptor Signaling Pathway (GO:0060766),1/14,0.0090644890278939,0.0568276331592059,0,0,128.03846153846155,602.2149225510485,SMARCA4
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),2/227,0.0092126023776958,0.0568276331592059,0,0,15.96929292929293,74.85099688088142,SMARCA4;EIF4G1
GO_Biological_Process_2023,Renal Filtration (GO:0097205),1/15,0.0097090442156726,0.0568276331592059,0,0,118.88690476190476,551.0048324972125,ITGA3
GO_Biological_Process_2023,Regulation Of miRNA-mediated Gene Silencing (GO:0060964),1/15,0.0097090442156726,0.0568276331592059,0,0,118.88690476190476,551.0048324972125,EIF4G1
