Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,ribosome biogenesis (GO:0042254),64/192,1.2244489239547644e-31,4.10925058879219e-28,0,0,8.46289592760181,602.3690189159183,LTV1;PAK1IP1;WDR3;RRP1;PWP2;WDR43;RRP9;NOB1;RIOK2;RIOK1;RRP12;UTP14A;UTP15;NOM1;WDR36;DIS3;TEX10;DDX10;WDR75;IMP4;URB2;SENP3;UTP18;LSG1;DKC1;MRTO4;NAF1;DDX27;NIP7;HEATR1;RPL36A;NOLC1;NOL8;RPF2;SDAD1;NOL6;RRP7A;EXOSC4;PDCD11;BMS1;DHX37;RRS1;SURF6;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP6;NOP16;KRR1;UTP3;DDX31;RRP1B;WDR12;BYSL;RCL1;EIF6;MPHOSPH10;ESF1;NOL11;ABCE1;MPHOSPH6
GO_Biological_Process_2021,rRNA processing (GO:0006364),55/173,3.4747437157948645e-26,5.830619955103783e-23,0,0,7.829587986489365,458.9836930224872,WDR3;RRP1;PWP2;WDR43;RRP9;NOB1;RIOK2;RIOK1;RRP12;UTP14A;RRP15;UTP15;WDR36;DIS3;TEX10;DDX10;WDR75;IMP4;SENP3;UTP18;DKC1;MRTO4;SRFBP1;DDX27;NOP2;HEATR1;MAK16;RPL36A;NOLC1;NOL8;NOL6;RRP7A;EXOSC4;PDCD11;BMS1;DHX37;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP6;KRR1;UTP3;RRP1B;WDR12;BYSL;RCL1;RSL1D1;EIF6;MPHOSPH10;ESF1;NOL11;MPHOSPH6
GO_Biological_Process_2021,rRNA metabolic process (GO:0016072),47/162,1.0809566660996863e-20,1.2092301904768493e-17,0,0,6.817422304890336,313.4231873063811,DDX27;WDR3;RRP1;HEATR1;RPL36A;NOLC1;NOL8;PWP2;WDR43;RRP9;NOL6;RRP7A;EXOSC4;PDCD11;NOB1;BMS1;DHX37;UTP20;RRP12;LYAR;UTP14A;DCAF13;UTP15;NOP56;NOP14;WDR36;NOP58;UTP6;DIS3;KRR1;UTP3;TEX10;DDX10;WDR75;IMP4;RRP1B;WDR12;SENP3;UTP18;BYSL;RCL1;DKC1;MRTO4;MPHOSPH10;ESF1;NOL11;MPHOSPH6
GO_Biological_Process_2021,ncRNA processing (GO:0034470),51/201,1.6419207819901816e-19,1.3775715360897624e-16,0,0,5.681162790697674,245.72875448725327,WDR3;RRP1;INTS10;PWP2;WDR43;RRP9;NOB1;RRP12;UTP14A;UTP15;WDR36;DIS3;TEX10;DDX10;WDR75;IMP4;SENP3;UTP18;DKC1;MRTO4;ZCCHC8;DDX27;HEATR1;RPL36A;NOLC1;NOL8;NOL6;RRP7A;EXOSC4;PDCD11;BMS1;DHX37;UTP20;LYAR;DCAF13;NOP56;UTP6;NOP14;NOP58;SSB;UTP3;KRR1;RRP1B;WDR12;BYSL;RCL1;MPHOSPH10;ESF1;INTS7;NOL11;MPHOSPH6
GO_Biological_Process_2021,maturation of SSU-rRNA (GO:0030490),16/35,2.369977106359887e-11,1.5907286337887564e-08,0,0,13.73953530834893,336.1453667577095,NOP14;UTP6;UTP3;WDR3;HEATR1;PWP2;NOB1;BMS1;DHX37;TSR1;RIOK2;NOL10;SRFBP1;RIOK1;NOL11;DCAF13
GO_Biological_Process_2021,ribonucleoprotein complex biogenesis (GO:0022613),20/60,8.212327266769117e-11,4.5934283845461927e-08,0,0,8.177110530896432,189.89539975734985,LTV1;NOM1;NOP14;NOP16;PAK1IP1;NIP7;DDX31;URB2;RPF2;SDAD1;WDR12;BYSL;TGS1;MRTO4;DHX37;RRS1;SURF6;RIOK2;NAF1;RIOK1
GO_Biological_Process_2021,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",14/30,3.026270967828179e-10,1.450880766861624e-07,0,0,14.25378787878788,312.4219314477327,NOP14;UTP6;UTP3;HEATR1;RPP40;KRI1;PWP2;BMS1;DHX37;RRS1;TSR1;UTP20;NOL10;DCAF13
GO_Biological_Process_2021,regulation of rRNA processing (GO:2000232),10/16,2.5975083649460187e-09,1.0896547590948548e-06,0,0,27.070750647109577,535.1539049090597,UTP15;USP36;YTHDF2;DIMT1;HEATR1;WDR75;RIOK2;NUDT16;RIOK1;WDR43
GO_Biological_Process_2021,maturation of LSU-rRNA (GO:0000470),11/26,8.885633795394452e-08,3.313354113038198e-05,0,0,11.915716753022451,193.4664959771443,DDX18;RSL1D1;EIF6;ZNHIT6;RPL7L1;MAK16;NOP2;URB1;RPF2;WDR12;RRP15
GO_Biological_Process_2021,ribosomal large subunit biogenesis (GO:0042273),16/57,9.961244687447273e-08,3.3429937171073047e-05,0,0,6.359655617371439,102.53023247601725,NOP16;PAK1IP1;NIP7;MAK16;NOP2;RPF2;SDAD1;WDR12;RSL1D1;EIF6;MRTO4;RRS1;SURF6;BRIX1;RSL24D1;RRP15
