symbol,log2FC,FDR
PRPF8,0.5774523333333335,0.02461866548415886
CAPNS1,0.2502146666666647,0.13726909612074642
RPL35,-0.07897333333333201,0.07493125164888786
RPL28,0.044270000000002696,0.17960180633649475
EIF4G2,-0.12930999999999848,0.038304719190724
EIF3D,0.2891066666666635,0.034337022474178434
PARK7,-0.23229999999999862,0.12597533546391884
SRP14,-0.1737666666666673,0.027887452087759067
GDI2,0.23721866666666713,0.14200096962501788
GDI2,-0.07074333333333271,0.19737194758204563
RPL11,-0.06748666666666736,0.2008310466189655
ARF3,0.4061400000000015,0.010607306409165624
RPL21,-0.1243333333333343,0.04969713723163974
RPL24,-0.12776333333333412,0.14903066350438482
HNRNPC,-0.13319999999999865,0.12391584188873107
SEPTIN2,-0.008666666666664824,0.955361979031514
HNRNPA1,0.1122299999999985,0.0433722270505055
RPS27A,-0.3127566666666688,0.03712963400980069
RPS13,-0.12050333333333185,0.25533582796545334
FAU,-0.09084666666666585,0.1603307456804373
TARDBP,-0.014123333333333932,0.885832543708668
CFL1,0.18413666666666728,0.04213069460940083
RPL18,-0.07893666666666554,0.2515267004344169
EIF3F,0.20097666666666747,0.05683700268530319
RPS5,0.006103333333333794,0.795175262982285
RPL27,-0.18523000000000067,0.027133400620465056
RPL34,-0.18015333333333494,0.042004415938554314
NARS1,-0.1333599999999997,0.14714363962206314
STARD7,0.2981173333333338,0.07155288542357308
RPL19,0.08686666666666554,0.022760329238247345
SLC25A3,0.14451999999999998,0.16198120177032038
RPS11,0.009830000000000894,0.8002732341320202
RPL9,-0.0729299999999995,0.160795810886719
DDX5,-0.01754666666666793,0.7135679130469563
RPL6,-0.1583199999999998,0.02498912903237917
CTDNEP1,0.20413700000000112,0.10561430996885668
RPL10A,0.03478666666666719,0.6574548656768243
CBX3,-0.21739333333333732,0.036226513900727286
RPL17,-0.046593333333332154,0.08906209114841575
PSMB2,0.1947600000000005,0.04329072628088778
KHDRBS1,0.13318399999999997,0.4070582479848522
DDX39B,0.04674666666666738,0.28770131323517545
RTCB,-0.09725133333333247,0.1483367337775684
ERH,-0.16346666666666643,0.1260463194636644
SRSF9,0.0009233333333327209,0.9895149206180229
ABCF1,-0.03496733333333246,0.7320172273931459
DAD1,-0.1760233333333332,0.17192891942351846
YY1,-0.08800333333333477,0.40215258615270805
JTB,-0.1119466666666682,0.09826383413690196
KAT7,0.32359399999999994,0.10561340360424223
ZNF146,-0.251065999999998,0.11872599375425316
