Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	70/736	2.334075e-19	2.733202e-16	0	0	4.018611e+00	1.724045e+02	RPL30;COX7B;RPL32;KEAP1;MT1X;CABIN1;RPS15;RPS4X;RPL7A;CAPZB;RPS19;AKT2;PSMD3;SCMH1;RPL36;AKT1;RPL35;RPL38;PHGDH;RPS13;MAP2K3;SEC13;RPL21;RPS7;RPS8;GPX3;DDX11;DYNLL1;ARFGAP1;PSME3;DDIT3;CSNK2B;MT1G;BLVRB;TERF2IP;TRIB3;RPL26;RPL29;CRYAB;SQSTM1;UBA52;ATF4;MT1E;PSMD13;MRPL18;DCTN3;COX5A;PSMA7;PSMB5;UBB;EXOSC8;LMNA;RPS3;RPS2;RPL18;RPS27A;EXTL3;RPL19;NQO1;HSPA8;TXNRD2;HMGA1;HSPA12A;COX6C;YIF1A;PSMC5;PSMC3;CDK4;RPL27A;RPS24
Reactome_2022	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	26/98	1.451490e-18	6.407912e-16	0	0	1.307222e+01	5.369277e+02	RPL30;RPL32;RPS15;RPS4X;RPL7A;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;DDIT3;RPL27A;TRIB3;RPL26;RPL29;UBA52;RPS24;ATF4
Reactome_2022	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	27/108	1.690274e-18	6.407912e-16	0	0	1.208365e+01	4.944826e+02	EIF4A1;RPL30;RPL32;RPS15;RPS4X;RPL7A;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;EIF3L;RPL27A;EIF3G;RPL26;RPL29;UBA52;RPS24;EIF4G1
Reactome_2022	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	27/109	2.188868e-18	6.407912e-16	0	0	1.193567e+01	4.853418e+02	EIF4A1;RPL30;RPL32;RPS15;RPS4X;RPL7A;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;EIF3L;RPL27A;EIF3G;RPL26;RPL29;UBA52;RPS24;EIF4G1
Reactome_2022	Cellular Responses To Stress R-HSA-2262752	67/722	5.357070e-18	1.102237e-15	0	0	3.889508e+00	1.546784e+02	RPL30;COX7B;RPL32;KEAP1;CABIN1;RPS15;RPS4X;RPL7A;CAPZB;RPS19;AKT2;PSMD3;SCMH1;RPL36;AKT1;RPL35;RPL38;PHGDH;RPS13;MAP2K3;SEC13;RPL21;RPS7;RPS8;GPX3;DDX11;DYNLL1;ARFGAP1;PSME3;DDIT3;CSNK2B;BLVRB;TERF2IP;TRIB3;RPL26;RPL29;CRYAB;SQSTM1;UBA52;ATF4;PSMD13;MRPL18;DCTN3;COX5A;PSMA7;PSMB5;UBB;EXOSC8;LMNA;RPS3;RPS2;RPL18;RPS27A;EXTL3;RPL19;NQO1;HSPA8;TXNRD2;HMGA1;HSPA12A;COX6C;YIF1A;PSMC5;PSMC3;CDK4;RPL27A;RPS24
Reactome_2022	Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	32/167	5.647673e-18	1.102237e-15	0	0	8.649835e+00	3.435307e+02	RPL30;RPL32;PSMD13;PSMA7;RPS15;RPS4X;RPL7A;PSMB5;RPS19;UBB;PSMD3;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;PSMC5;PSMC3;PSME3;RPL27A;RPL26;RPL29;UBA52;RPS24;EIF4G1
Reactome_2022	Cap-dependent Translation Initiation R-HSA-72737	27/116	1.233587e-17	2.063615e-15	0	0	1.099293e+01	4.279990e+02	EIF4A1;RPL30;RPL32;RPS15;RPS4X;RPL7A;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;EIF3L;RPL27A;EIF3G;RPL26;RPL29;UBA52;RPS24;EIF4G1
Reactome_2022	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	25/98	1.876224e-17	2.746323e-15	0	0	1.237349e+01	4.765612e+02	RPL30;RPL32;RPS15;RPS4X;RPL7A;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;EIF3L;RPL27A;EIF3G;RPL26;RPL29;UBA52;RPS24
Reactome_2022	Translation R-HSA-72766	40/281	2.373715e-17	3.088467e-15	0	0	6.115912e+00	2.341140e+02	EIF4A1;RPL30;RPL32;MRPL18;MRPL55;RPS15;RPS4X;MRPL20;RPL7A;MRPL40;RPS19;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;MRPS27;RPL21;RPS7;RPS8;SSR2;MRPL23;MRPL53;MRPL51;EEF1D;EIF3L;RPL27A;EIF3G;RPL26;AURKAIP1;RPL29;FARSA;UBA52;CARS2;RPS24;EIF4G1
Reactome_2022	Eukaryotic Translation Elongation R-HSA-156842	24/90	2.711463e-17	3.175123e-15	0	0	1.311867e+01	5.004309e+02	RPL30;RPL32;RPL21;RPS7;RPS8;RPS15;RPS4X;RPL7A;RPS19;EEF1D;RPL27A;RPL36;RPS3;RPL35;RPL38;RPL26;RPS2;RPL29;RPL18;RPS27A;UBA52;RPS13;RPS24;RPL19
Reactome_2022	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	24/92	4.728723e-17	5.033941e-15	0	0	1.273151e+01	4.785814e+02	RPL30;RPL32;RPL21;RPS7;RPS8;RPS15;RPS4X;RPL7A;RPS19;RPL27A;RPL36;RPS3;RPL35;RPL38;RPL26;RPS2;RPL29;RPL18;RPS27A;UBA52;RPS13;RPS24;RPL19;EIF4G1
Reactome_2022	Signaling By ROBO Receptors R-HSA-376176	34/209	1.002625e-16	9.783949e-15	0	0	7.101935e+00	2.616264e+02	RPL30;RPL32;PSMD13;PSMA7;RPS15;RPS4X;RPL7A;PSMB5;RPS19;UBB;PSMD3;RPL36;RPS3;RPL35;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS7;RPS8;RHOA;PSMC5;CXCL12;PSMC3;PSME3;RPL27A;RPL26;RPL29;UBA52;RPS24;EIF4G1
Reactome_2022	Peptide Chain Elongation R-HSA-156902	23/86	1.170295e-16	1.054165e-14	0	0	1.314829e+01	4.823331e+02	RPL30;RPL32;RPL21;RPS7;RPS8;RPS15;RPS4X;RPL7A;RPS19;RPL27A;RPL36;RPS3;RPL35;RPL38;RPL26;RPS2;RPL29;RPL18;RPS27A;UBA52;RPS13;RPS24;RPL19
Reactome_2022	Metabolism Of RNA R-HSA-8953854	61/666	3.467021e-16	2.420599e-14	0	0	3.797931e+00	1.351990e+02	EIF4A1;RPL30;DDX49;RPL32;TSEN2;TSEN54;RPS15;RPS4X;RPL7A;RPS19;PSMD3;RPL36;AKT1;RPL35;RPL38;CTNNBL1;RPS13;SEC13;SNRPN;RPL21;RPS7;RPS8;METTL1;BUD31;GTF2F1;FTSJ1;SENP3;NT5C3B;HNRNPUL1;CLNS1A;PSME3;SRSF2;SNRPE;RPL26;RPL29;SNRNP200;UBA52;DDX5;PSMD13;PSMA7;NOL6;PSMB5;UBB;EXOSC8;RPS3;POLR2G;RPS2;RPL18;RPS27A;RPL19;CPSF4;HSPA8;CHTOP;NOP14;PSMC5;SNRNP40;PSMC3;CNOT1;RPL27A;RPS24;EIF4G1
