Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,SARS-CoV Infections R-HSA-9679506,3/369,0.0015526983199232,0.0851585907959561,0,0,16.082786885245902,104.01962194874756,GANAB;STAT2;BRD4
Reactome_2022,Potential Therapeutics For SARS R-HSA-9679191,2/97,0.0017537374706539,0.0851585907959561,0,0,38.07081339712919,241.5976129419097,STAT2;BRD4
Reactome_2022,Maturation Of Spike Protein R-HSA-9683686,1/5,0.0032460508750897,0.0851585907959561,0,0,416.3125,2385.6022367218384,GANAB
Reactome_2022,Disease R-HSA-1643685,5/1736,0.0034822210885179,0.0851585907959561,0,0,6.59156556903524,37.3088210410112,GANAB;STAT2;LMNA;SLC2A1;BRD4
Reactome_2022,Vitamin C (Ascorbate) Metabolism R-HSA-196836,1/7,0.0045417536091676,0.0851585907959561,0,0,277.5138888888889,1497.032601111507,SLC2A1
Reactome_2022,Interferon Signaling R-HSA-913531,2/200,0.0072181010363148,0.0851585907959561,0,0,18.171717171717173,89.6077061786221,STAT2;EIF4G1
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,3/702,0.0094635088884399,0.0851585907959561,0,0,8.278111587982833,38.57858315369342,STAT2;SMARCA4;EIF4G1
Reactome_2022,Depolymerisation Of Nuclear Lamina R-HSA-4419969,1/15,0.0097090442156726,0.0851585907959561,0,0,118.88690476190476,551.0048324972125,LMNA
Reactome_2022,Calnexin/calreticulin Cycle R-HSA-901042,1/26,0.0167736618234459,0.0851585907959561,0,0,66.54,272.01188501169923,GANAB
Reactome_2022,Interleukin-20 Family Signaling R-HSA-8854691,1/26,0.0167736618234459,0.0851585907959561,0,0,66.54,272.01188501169923,STAT2
GO_Biological_Process_2021,Potential Therapeutics For SARS R-HSA-9679191,2/97,0.0017537374706539,0.0851585907959561,0,0,38.07081339712919,241.5976129419097,STAT2;BRD4
GO_Biological_Process_2021,SARS-CoV Infections R-HSA-9679506,3/369,0.0015526983199232,0.0851585907959561,0,0,16.082786885245902,104.01962194874756,GANAB;STAT2;BRD4
GO_Biological_Process_2021,Disease R-HSA-1643685,5/1736,0.0034822210885179,0.0851585907959561,0,0,6.59156556903524,37.3088210410112,GANAB;STAT2;LMNA;SLC2A1;BRD4
GO_Biological_Process_2021,Maturation Of Spike Protein R-HSA-9683686,1/5,0.0032460508750897,0.0851585907959561,0,0,416.3125,2385.6022367218384,GANAB
GO_Biological_Process_2021,Interleukin-20 Family Signaling R-HSA-8854691,1/26,0.0167736618234459,0.0851585907959561,0,0,66.54,272.01188501169923,STAT2
GO_Biological_Process_2021,Calnexin/calreticulin Cycle R-HSA-901042,1/26,0.0167736618234459,0.0851585907959561,0,0,66.54,272.01188501169923,GANAB
GO_Biological_Process_2021,SARS-CoV-2 Infection R-HSA-9694516,2/283,0.0140405974231484,0.0851585907959561,0,0,12.75056615981883,54.39139483061334,GANAB;STAT2
GO_Biological_Process_2021,Laminin Interactions R-HSA-3000157,1/22,0.0142101091631312,0.0851585907959561,0,0,79.23015873015873,337.0293803138913,ITGA3
GO_Biological_Process_2021,mTORC1-mediated Signaling R-HSA-166208,1/24,0.0154926555661662,0.0851585907959561,0,0,72.33333333333333,301.441152263015,EIF4G1
GO_Biological_Process_2021,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.0154926555661662,0.0851585907959561,0,0,72.33333333333333,301.441152263015,LMNA
GO_Biological_Process_2021,Cellular Hexose Transport R-HSA-189200,1/21,0.0135682578861655,0.0851585907959561,0,0,83.19583333333334,357.74392971285124,SLC2A1
GO_Biological_Process_2021,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,1/21,0.0135682578861655,0.0851585907959561,0,0,83.19583333333334,357.74392971285124,LMNA
GO_Biological_Process_2021,Synaptic Adhesion-Like Molecules R-HSA-8849932,1/21,0.0135682578861655,0.0851585907959561,0,0,83.19583333333334,357.74392971285124,PTPRF
GO_Biological_Process_2021,Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,1/20,0.0129260209528938,0.0851585907959561,0,0,87.57894736842105,380.8381798737429,PTPRF
GO_Biological_Process_2021,Chromatin Modifying Enzymes R-HSA-3247509,2/238,0.0100884656668437,0.0851585907959561,0,0,15.21648690292758,69.94049010057465,NSD2;SMARCA4
GO_Biological_Process_2021,MET Activates PTK2 Signaling R-HSA-8874081,1/17,0.0109969941425308,0.0851585907959561,0,0,104.015625,469.12433437564215,ITGA3
Reactome_2022,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,1/21,0.0135682578861655,0.0851585907959561,0,0,83.19583333333334,357.74392971285124,LMNA
Reactome_2022,Cellular Hexose Transport R-HSA-189200,1/21,0.0135682578861655,0.0851585907959561,0,0,83.19583333333334,357.74392971285124,SLC2A1
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,2/238,0.0100884656668437,0.0851585907959561,0,0,15.21648690292758,69.94049010057465,NSD2;SMARCA4
Reactome_2022,MET Activates PTK2 Signaling R-HSA-8874081,1/17,0.0109969941425308,0.0851585907959561,0,0,104.015625,469.12433437564215,ITGA3
Reactome_2022,Acyl Chain Remodelling Of PI R-HSA-1482922,1/17,0.0109969941425308,0.0851585907959561,0,0,104.015625,469.12433437564215,MBOAT7
Reactome_2022,Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,1/19,0.0122833981550328,0.0851585907959561,0,0,92.44907407407408,406.7303181925871,LMNA
Reactome_2022,Interleukin-7 Signaling R-HSA-1266695,1/25,0.016133351108423,0.0851585907959561,0,0,69.31597222222223,286.05777422638903,SMARCA4
Reactome_2022,Regulation Of IFNA/IFNB Signaling R-HSA-912694,1/25,0.016133351108423,0.0851585907959561,0,0,69.31597222222223,286.05777422638903,STAT2
Reactome_2022,Deadenylation Of mRNA R-HSA-429947,1/25,0.016133351108423,0.0851585907959561,0,0,69.31597222222223,286.05777422638903,EIF4G1
Reactome_2022,Basigin Interactions R-HSA-210991,1/25,0.016133351108423,0.0851585907959561,0,0,69.31597222222223,286.05777422638903,ITGA3
Reactome_2022,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.0154926555661662,0.0851585907959561,0,0,72.33333333333333,301.441152263015,LMNA
Reactome_2022,mTORC1-mediated Signaling R-HSA-166208,1/24,0.0154926555661662,0.0851585907959561,0,0,72.33333333333333,301.441152263015,EIF4G1
Reactome_2022,Laminin Interactions R-HSA-3000157,1/22,0.0142101091631312,0.0851585907959561,0,0,79.23015873015873,337.0293803138913,ITGA3
Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,2/283,0.0140405974231484,0.0851585907959561,0,0,12.75056615981883,54.39139483061334,GANAB;STAT2
